subid,jp_id,point,lat,lon,location,location_original,
1068,,POINT(3107863.7188587743 6066025.463178635),47.7539947,27.9184148,"Balti, Moldova",,
1069,,POINT(2779287.009570991 5771245.40362821),45.943161,24.96676,Romania,,
1070,,POINT(-8238303.700046114 4970069.184605361),40.7127837,-74.0059413,"New York, New York",,
1071,,POINT(-10026993.827200336 5469478.623001058),44.0260775,-90.0740181,"Neceedah, Wisconsin",,
1072,,POINT(-9971394.739801973 5546828.035699859),44.5235792,-89.574563,"Stevens Point, Wisconsin",,
1073,,POINT(-13217832.17791421 6215380.834170646),48.6482183,-118.7378067,"Republic, Washington",,
1074,jp_cite_00202,,,,,,"""POINT(922006.9774238715 6390653.023327028)"",""POINT(-8238303.700046114 4970069.184605361)"",""POINT(-9754904.512583427 5142738.901800851)"",""POINT(-9062315.728988143 5008663.242708011)"",""POINT(-9304293.666815165 4914172.391812867)""}"
1075,,POINT(922006.9774238715 6390653.023327028),49.6777459,8.2825296,"Abenheim, Germany",,
1076,,POINT(-8238303.700046114 4970069.184605361),40.7127837,-74.0059413,"New York, New York",,
1077,,POINT(-9754904.512583427 5142738.901800851),41.8781136,-87.6297982,"Chicago, Illinois",,
1078,,POINT(-9062315.728988143 5008663.242708011),40.9750568,-81.4081673,"Uniontown, Ohio",,
1079,,POINT(-9304293.666815165 4914172.391812867),40.3310881,-83.5818921,"East Liberty, Ohio",,
1080,jp_cite_00203,,,,,,"""POINT(864790.796310775 6360362.2788696885)"",""POINT(-8367354.181578875 4859054.290881913)"",""POINT(-9357629.84047305 3801934.4478387036)"",""POINT(-9410879.218323976 3852593.4471666855)""}"
1081,,POINT(864790.796310775 6360362.2788696885),49.5013508,7.7685479,"Otterberg, Germany",,
1082,,POINT(-8367354.181578875 4859054.290881913),39.9525839,-75.1652215,"Philadelphia, Pennsylvania",,
1083,,POINT(-9357629.84047305 3801934.4478387036),32.293769,-84.0610191,"Oglethorpe, Germany",,
1084,,POINT(-9410879.218323976 3852593.4471666855),32.6776372,-84.5393664,"Talbotton, Georgia",,
1085,jp_cite_00204,,,,,,"""POINT(11724030.287269026 8747149.047572464)"",""POINT(-8238303.700046114 4970069.184605361)"",""POINT(-9754904.512583427 5142738.901800851)""}"
1086,,POINT(11724030.287269026 8747149.047572464),61.52401,105.318756,Russia,,
1087,,POINT(-8238303.700046114 4970069.184605361),40.7127837,-74.0059413,"New York, New York",,
1088,,POINT(-9754904.512583427 5142738.901800851),41.8781136,-87.6297982,"Chicago, Illinois",,
1089,jp_cite_00205,,,,,,"""POINT(1185622.8750417593 6336736.808888903)"",""POINT(797399.4460111865 6386095.055828515)"",""POINT(907253.849838889 6156910.054501574)"",""POINT(1147535.6348488329 6169090.529985365)""}"
1090,,POINT(1185622.8750417593 6336736.808888903),49.3633273,10.6506315,"Franconia, Germany",,
1091,,POINT(797399.4460111865 6386095.055828515),49.6512438,7.1631611,"Birkenfeld, Germany",,
1092,,POINT(907253.849838889 6156910.054501574),48.3,8.15,"Black Forest, Germany",,
1093,,POINT(1147535.6348488329 6169090.529985365),48.372737,10.308488,"Ichenhausen, Germany",,
1094,jp_cite_00206,,,,,,"""POINT(2131226.7903913013 6785571.89784786)"",""POINT(-8238303.700046114 4970069.184605361)"",""POINT(-5867965.560034805 6034053.489726911)"",""POINT(-6773993.281342521 5820291.135222858)"",""POINT(-7354133.816787441 5664652.504286968)"",""POINT(-6700790.363443488 5802297.059251198)""}"
1095,,POINT(2131226.7903913013 6785571.89784786),51.919438,19.145136,Poland,,
1096,,POINT(-8238303.700046114 4970069.184605361),40.7127837,-74.0059413,"New York, New York",,
1097,,POINT(-5867965.560034805 6034053.489726911),47.5605413,-52.7128315,"Saint John's, Newfoundland",,
